full_name,city,country,counts,avg_Retweet,avg_Replies,avg_Like,avg_Quotes,index
"São João da Boa Vista, Brasil",São João da Boa Vista,Brasil,1,0,0,0,0,1
"Nashville, TN","Nashville, TN",USA,1,0,0,0,0,2
