"full_name__-","counts","avg_Retweet","avg_Replies","avg_Like","avg_Quotes","index"
"São João da Boa Vista, Brasil","1","0.0","0.0","0.0","0.0","1"
"Nashville, TN","1","0.0","0.0","0.0","0.0","2"
