full_name,city,country,counts,avg_Retweet,avg_Replies,avg_Like,avg_Quotes,index
"Montevideo, Uruguay",Montevideo,Uruguay,2,0,0,0,0,1
"Dubai, United Arab Emirates",Dubai,United Arab Emirates,2,0,0,0,0,2
"Gwangjin-gu, Republic of Korea",Gwangjin-gu,Republic of Korea,1,0,0,0,0,3
"Moscow, Russia",Moscow,Russia,1,0,0,0,0,4
Tunisia,,Tunisia,1,0,0,0,0,5
"Ribeirão Pires, Brasil",Ribeirão Pires,Brasil,1,0,0,0,0,6
"Saint Petersburg, Russia",Saint Petersburg,Russia,1,0,0,0,0,7
"Chatuchak, Thailand",Chatuchak,Thailand,1,0,0,0,0,8
"Paris, France",Paris,France,1,0,0,0,0,9
